tile,price,link_item,discount_percent,countReviews
"điện thoại Oppo Reno2 Z - Oppo Reno 2Z Chính Hãng 2sim ram 8G/256G, cấu hình CPU siêu Cao Cấp, đánh mọi Game nặng chất",1.499.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-reno2-z-oppo-reno-2z-chinh-hang-2sim-ram-8g256g-cau-hinh-cpu-sieu-cao-cap-danh-moi-game-nang-chat-i2184586549.html,48%off,"46 Đã bán
(19)
Hồ Chí Minh"
"điện thoại Chính Hãng Giá rẻ Oppo A31 2020 máy 2sim ram 8G/256G, Cấu hình Chip Cao mạnh mẽ Cày Liên Quân- PUBG-Free Fire-Tiktok siêu mượt",799.000 ₫,https://www.lazada.vn/products/dien-thoai-chinh-hang-gia-re-oppo-a31-2020-may-2sim-ram-8g256g-cau-hinh-chip-cao-manh-me-cay-lien-quan-pubg-free-fire-tiktok-sieu-muot-i2184568616.html,47%off,"45 Đã bán
(19)
Hồ Chí Minh"
Điện thoại VIVO Y67 2SIM - CHÍNH HÃNG - RAM 4/32GB - CAMERA 16MP - CHIẾN GAME NGON,549.000 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y67-2sim-chinh-hang-ram-432gb-camera-16mp-chien-game-ngon-i2184213568.html,49%off,"20 Đã bán
Hồ Chí Minh"
điện thoại Vivo Y51 2SIM Chính Hãng - Camera 8MP - CPU: 4 nhân Cortex-A53 tốc độ 1.2 GHz - Pin 2350 mAh,499.000 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y51-2sim-chinh-hang-camera-8mp-cpu-4-nhan-cortex-a53-toc-do-12-ghz-pin-2350-mah-i2184207570.html,50%off,"20 Đã bán
Hồ Chí Minh"
Xiaomi Redmi K60 Pro,12.400.000 ₫,https://www.lazada.vn/products/xiaomi-redmi-k60-pro-i2183868481.html,,Vĩnh Phúc
Điện thoại chiến game mượt pin trâu OP PO F11 máy 99% bảo hành 12 tháng,2.185.000 ₫,https://www.lazada.vn/products/dien-thoai-chien-game-muot-pin-trau-op-po-f11-may-99-bao-hanh-12-thang-i2183295177.html,,"(1)
Hồ Chí Minh"
Điện thoại Vivo Y66 2SIM Chính Hãng - Camera 16MP - Chip Snapdragon 435 8 nhân 1.4 GHz - Pin 3000 mAh,549.000 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y66-2sim-chinh-hang-camera-16mp-chip-snapdragon-435-8-nhan-14-ghz-pin-3000-mah-i2183139178.html,49%off,"20 Đã bán
Hồ Chí Minh"
[CHÍNH HÃNG] Điện thoại Oppo F1s Ram 4/64GB Cân mọi loại Game - Camera Sefile - Pin trâu,699.000 ₫,https://www.lazada.vn/products/chinh-hang-dien-thoai-oppo-f1s-ram-464gb-can-moi-loai-game-camera-sefile-pin-trau-i2183130229.html,44%off,"20 Đã bán
(5)
Hồ Chí Minh"
[Khuyến mãi HVSV] Điện thoại OPPO A57 2SIM - CHÍNH HÃNG - CAMERA 16MP - CHUYÊN HỌC ONLINE - CHƠI GAME NẶNG ĐỈNH,699.000 ₫,https://www.lazada.vn/products/khuyen-mai-hvsv-dien-thoai-oppo-a57-2sim-chinh-hang-camera-16mp-chuyen-hoc-online-choi-game-nang-dinh-i2183105375.html,42%off,"20 Đã bán
Hồ Chí Minh"
[Mã giảm giá 20%] Điện thoại OPPO A37 - OPPO NEO 9 - Hàng chính hãng - Camera nét - Cấu hình mạnh Ram 3/32GB - Cân mọi game,649.000 ₫,https://www.lazada.vn/products/ma-giam-gia-20-dien-thoai-oppo-a37-oppo-neo-9-hang-chinh-hang-camera-net-cau-hinh-manh-ram-332gb-can-moi-game-i2183045863.html,48%off,"20 Đã bán
(5)
Hồ Chí Minh"
